"LZQ19CQI","0","http://www.wikidata.org/entity/Q8425"
"IB94FXO8","0","http://www.wikidata.org/entity/Q8425"
"IB94FXO8","2","http://www.wikidata.org/entity/Q3624078"
"LDE0A5LT","0","http://www.wikidata.org/entity/Q8362"
"MHYNCY5U","0","http://www.wikidata.org/entity/Q8362"
"Z0YDZ4VY","0","http://www.wikidata.org/entity/Q8261"
"WR73Q0EG","0","http://www.wikidata.org/entity/Q8261"
"T4P7FRAJ","0","http://www.wikidata.org/entity/Q8261"
"T4P7FRAJ","3","http://www.wikidata.org/entity/Q5"
"Q9AL4XSE","0","http://www.wikidata.org/entity/Q8142"
"Q9AL4XSE","3","http://www.wikidata.org/entity/Q66344"
"Q9AL4XSE","6","http://www.wikidata.org/entity/Q3624078"
"7UO1V4E2","0","http://www.wikidata.org/entity/Q8142"
"7UO1V4E2","1","http://www.wikidata.org/entity/Q8142"
"7UO1V4E2","4","http://www.wikidata.org/entity/Q308229"
"HFXXBNVH","0","http://www.wikidata.org/entity/Q8142"
"W09IWTVK","0","http://www.wikidata.org/entity/Q8109"
"W09IWTVK","1","http://www.wikidata.org/entity/Q5"
"W09IWTVK","3","http://www.wikidata.org/entity/Q27020041"
"W09IWTVK","4","http://www.wikidata.org/entity/Q2338524"
"OEL94AJS","0","http://www.wikidata.org/entity/Q8109"
"OEL94AJS","1","http://www.wikidata.org/entity/Q5"
"OEL94AJS","3","http://www.wikidata.org/entity/Q27020041"
"OEL94AJS","4","http://www.wikidata.org/entity/Q2338524"
"XQ7ROO72","0","http://www.wikidata.org/entity/Q8109"
"XQ7ROO72","1","http://www.wikidata.org/entity/Q5"
"XQ7ROO72","3","http://www.wikidata.org/entity/Q27020041"
"XQ7ROO72","4","http://www.wikidata.org/entity/Q2338524"
"6FONBZI6","0","http://www.wikidata.org/entity/Q8092"
"6FONBZI6","2","http://www.wikidata.org/entity/Q44606775"
"6FONBZI6","7","http://www.wikidata.org/entity/Q9430"
"AQSMF2QC","0","http://www.wikidata.org/entity/Q8092"
"AQSMF2QC","7","http://www.wikidata.org/entity/Q9430"
"Z12VLMSU","0","http://www.wikidata.org/entity/Q8092"
