col0,col1,col2,col3,col4,col5,col6
2017 San Sebastián International Film Festival,Spain,film festival edition,2017-01-01,San Sebastián International Film Festival,2016 San Sebastián International Film Festival,2017-09-22
Three Continents Festival 2017,France,film festival edition,2017-01-01,Three Continents Festival,Three Continents Festival 2016,2017-11-21
2017 Toronto International Film Festival,Canada,film festival edition,2017-01-01,Toronto International Film Festival,2016 Toronto International Film Festival,2017-09-07
74th Venice International Film Festival,Italy,film festival edition,2017-01-01,Venice Film Festival,73rd Venice International Film Festival,2017-08-30
2017 Sundance Film Festival,United States of America,film festival edition,2017-01-01,Sundance Film Festival,2016 Sundance Film Festival,2017-01-19
67th Berlin International Film Festival,Germany,film festival edition,2017-01-01,Berlin International Film Festival,66th Berlin International Film Festival,2017-02-09
43rd Film Fest Gent,Belgium,film festival edition,2016-01-01,Film Fest Gent,42nd Film Fest Gent,2016-10-11
2016 Deauville American Film Festival,France,film festival edition,2016-01-01,Deauville American Film Festival,2015 Deauville American Film Festival,2016-09-02
44rd Film Fest Gent,Belgium,film festival edition,2017-01-01,Film Fest Gent,43rd Film Fest Gent,2017-10-10
73rd Venice International Film Festival,Italy,film festival edition,2016-01-01,Venice Film Festival,72nd Venice International Film Festival,2016-08-31
2016 Toronto International Film Festival,Canada,film festival edition,2016-01-01,Toronto International Film Festival,2015 Toronto International Film Festival,2016-09-08
