col0,col1,col2,col3,col4,col5
56th Academy Awards,55th Academy Awards,1984-04-09,Academy Awards ceremony,57th Academy Awards,1983-01-01
54th Academy Awards,53rd Academy Awards,1982-03-29,Academy Awards ceremony,55th Academy Awards,1981-01-01
91st Academy Awards,90th Academy Awards,2019-02-24,television program,92nd Academy Awards,2018-01-01
40th Academy Awards,39th Academy Awards,1968-04-10,Academy Awards ceremony,41st Academy Awards,1967-01-01
66th Academy Awards,65th Academy Awards,1994-03-21,Academy Awards ceremony,67th Academy Awards,1993-01-01
43rd Academy Awards,42nd Academy Awards,1971-04-15,Academy Awards ceremony,44th Academy Awards,1970-01-01
21st Academy Awards,20th Academy Awards,1949-03-24,Academy Awards ceremony,22nd Academy Awards,1948-01-01
32nd Academy Awards,31st Academy Awards,1960-04-04,Academy Awards ceremony,33rd Academy Awards,1959-01-01
17th Academy Awards,16th Academy Awards,1945-03-15,Academy Awards ceremony,18th Academy Awards,1944-01-01
23rd Academy Awards,22nd Academy Awards,1951-03-29,Academy Awards ceremony,24th Academy Awards,1950-01-01
