col0,col1,col2,col3
Stearns County,Minnesota,3600,county of Minnesota
Freeborn County,Minnesota,1872,county of Minnesota
Waseca County,Minnesota,433,county of Minnesota
Kanabec County,Minnesota,1381,county of Minnesota
Mower County,Minnesota,1843,county of Minnesota
Lincoln County,Minnesota,1420,county of Minnesota
Stevens County,Minnesota,1490,county of Minnesota
Red Lake County,Minnesota,1120,county of Minnesota
Meeker County,Minnesota,1671,county of Minnesota
Sherburne County,Minnesota,1168,county of Minnesota
Rice County,Minnesota,1337,county of Minnesota
Swift County,Minnesota,1949,county of Minnesota
Yellow Medicine County,Minnesota,1976,county of Minnesota
Nicollet County,Minnesota,1209,county of Minnesota
Wright County,Minnesota,714,county of Minnesota
