col0,col1,col2,col3,col4,col5,col6
McDuffie County,George McDuffie,1870-01-01,McDuffie County,county of Georgia,Georgia,3.4
Muscogee County,Muscogee,1825-06-09,Muscogee County,county of Georgia,Georgia,2.1
Lumpkin County,Wilson Lumpkin,1832-12-03,Lumpkin County,county of Georgia,Georgia,0.4
Dawson County,William Crosby Dawson,1857-01-01,Dawson County,county of Georgia,Georgia,1.7
Oconee County,Oconee River,1875-02-24,Oconee County,county of Georgia,Georgia,1.1
Macon County,Nathaniel Macon,1837-12-14,Macon County,county of Georgia,Georgia,1.3
Elbert County,Samuel Elbert,1790-12-10,Elbert County,county of Georgia,Georgia,6.2
Wayne County,Anthony Wayne,1803-05-11,Wayne County,county of Georgia,Georgia,1.1
Wilkes County,John Wilkes,1784-02-25,Wilkes County,county of Georgia,Georgia,1
Laurens County,John Laurens,1807-12-10,Laurens County,county of Georgia,Georgia,1.4
Peach County,peach,1924-07-08,Peach County,county of Georgia,Georgia,0.7
