col0,col1,col2,col3,col4,col5,col6
Saale-Unstrut-Triasland Nature Park,1037,Naturpark,Germany,Saale,1991-01-01,Saalekreis
Nuthe-Nieplitz Nature Park,623,Naturpark,Germany,Nuthe,1999-08-01,Brandenburg
Lower Lusatian Ridge Nature Park,587,Naturpark,Germany,Lower Lusatia,1997-01-01,Brandenburg
Lower Lusatian Heath Nature Park,484,Naturpark,Germany,Lower Lusatia,1996-01-01,Brandenburg
Naturpark Lahn-Dill-Bergland,87432,Naturpark,Germany,Lahn,2007-01-01,Hesse
High Vogelsberg Nature Park,883.36,Naturpark,Germany,Vogelsberg,1956-01-01,Hesse
Taunus Nature Park,134775,Naturpark,Germany,Taunus,1962-05-30,Hesse
Ore Mountains/Vogtland Nature Park,1.495,Naturpark,Germany,Ore Mountains,1990-01-01,Mittelsachsen
Düben Heath Nature Park,770,Naturpark,Germany,Düben Heath,1992-01-01,Saxony
Barnim Nature Park,749,Naturpark,Germany,Barnim Plateau,1999-05-09,Berlin
Maas-Schwalm-Nette Nature Park,870,Naturpark,Netherlands,Meuse,2002-01-01,North Rhine-Westphalia
Dahme-Heideseen Nature Park,59375,Naturpark,Germany,Dahme,1998-09-19,Brandenburg
