col0,col1,col2,col3,col4,col5,col6
2011 Thailand Open Badminton Championships,2012 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2009 Thailand Open Badminton Championships
2007 Thailand Open Badminton Championships,2008 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2006 Thailand Open Badminton Championships
1990 Thailand Open Badminton Championships,1991 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1989 Thailand Open Badminton Championships
1993 Thailand Open Badminton Championships,1994 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1992 Thailand Open Badminton Championships
2008 Thailand Open Badminton Championships,2009 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2007 Thailand Open Badminton Championships
2005 Thailand Open Badminton Championships,2006 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2004 Thailand Open Badminton Championships
2009 Thailand Open Badminton Championships,2011 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2008 Thailand Open Badminton Championships
2004 Thailand Open Badminton Championships,2005 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2003 Thailand Open Badminton Championships
1994 Thailand Open Badminton Championships,1995 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1993 Thailand Open Badminton Championships
1992 Thailand Open Badminton Championships,1993 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1991 Thailand Open Badminton Championships
1997 Thailand Open Badminton Championships,1999 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1996 Thailand Open Badminton Championships
1987 Thailand Open Badminton Championships,1988 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1985 Thailand Open Badminton Championships
2001 Thailand Open Badminton Championships,2003 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2000 Thailand Open Badminton Championships
1988 Thailand Open Badminton Championships,1989 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,1987 Thailand Open Badminton Championships
2006 Thailand Open Badminton Championships,2007 Thailand Open Badminton Championships,Thailand Open Badminton Championships,badminton,Thailand,open championship,2005 Thailand Open Badminton Championships
