col0,col1,col2,col3,col4,col5
San Marcos,Honduras,989,165.09,municipality of Honduras,Ocotepeque Department
Intibucá,Honduras,1700,536.74,municipality of Honduras,Intibucá Department
Alianza,Honduras,18,215,municipality of Honduras,Valle Department
Ahuas,Honduras,11,1800.63,municipality of Honduras,Gracias a Dios Department
Concepción,Honduras,1013,74,municipality of Honduras,Copán Department hijueputa
San Francisco,Honduras,59,284.34,municipality of Honduras,Atlántida Department
"Belén, Honduras",Honduras,963,198,municipality of Honduras,Lempira Department
Santa Fe Municipality,Honduras,0,196,municipality of Honduras,Colón Department
San Francisco,Honduras,553,133,municipality of Honduras,Lempira Department
San Antonio Municipality,Honduras,148,91,municipality of Honduras,Intibucá Department
Santa Ana Municipality,Honduras,1361,66,municipality of Honduras,Francisco Morazán Department
San Manuel,Honduras,33,138,municipality of Honduras,Cortés Department
La Trinidad,Honduras,477,86,municipality of Honduras,Comayagua Department
Sonaguera Municipality,Honduras,113,389,municipality of Honduras,Colón Department
