col0,col1,col2,col3,col4,col5
Rzeszów County,166883,1218.8,powiat of Poland,Rzeszów,Nisko County
Lesko County,26783,834.86,powiat of Poland,Lesko,Bieszczady County
Kraśnik County,97000,1005.34,powiat of Poland,Kraśnik,Janów Lubelski County
Leżajsk County,69716,583.01,powiat of Poland,Leżajsk,Nisko County
Lublin County,151178,1679.42,Wikimedia duplicated page,Lublin,Lublin
Łęczna County,57401,633.75,powiat of Poland,Łęczna,Lublin County
Zamość County,108000,1872.27,powiat of Poland,Zamość,Zamość
Ryki County,57388,615.54,powiat of Poland,Ryki,Puławy County
Puławy County,117167,933,powiat of Poland,Puławy,Lublin County
Parczew County,36036,952.62,powiat of Poland,Parczew,Łęczna County
Opole Lubelskie County,60964,804.14,powiat of Poland,Opole Lubelskie,Lublin County
