col0,col1,col2,col3
Pont-canal du Cacor,Moissac,navigable aqueduct,Tarn
Pont-canal du Guétin,Cuffy,navigable aqueduct,Allier
Pont-canal sur la Baïse,Vianne,navigable aqueduct,Baïse
Agen aqueduct,Agen,navigable aqueduct,Garonne
Répudre Aqueduct,Paraza,navigable aqueduct,Répudre
Barton Swing Aqueduct,Trafford,navigable aqueduct,Manchester Ship Canal
Magdeburg Water Bridge,Magdeburg,navigable aqueduct,Elbe
Akwadukt De Geau,Súdwest-Fryslân,navigable aqueduct,A7 motorway
Minden Aqueduct,Minden,navigable aqueduct,Weser
Pontcysyllte Aqueduct,Wrexham County Borough,navigable aqueduct,River Dee
Barton Swing Aqueduct,Trafford,swing bridge,Manchester Ship Canal
Argent-Double Aqueduct,La Redorte,spillway,Argent-Double
"Three Bridges, London",London Borough of Ealing,road bridge,Brentford branch line
