col0,col1,col2,col3
Obermehler-Schlotheim Airport,commercial airfield,Obermehler,Germany
Worms Airport,commercial airfield,Worms,Germany
Reichelsheim Airport,commercial airfield,Reichelsheim,Germany
Leer-Papenburg Airport,commercial airfield,Leer,Germany
Rheine-Eschendorf Airport,commercial airfield,Rheine,Germany
Osnabrück-Atterheide Airport,commercial airfield,Atter,Germany
Allendorf Airport,commercial airfield,Allendorf,Germany
Cottbus-Drewitz Airport,commercial airfield,Cottbus,Germany
Emden Airport,commercial airfield,Emden,Germany
Trier-Föhren Airport,commercial airfield,Trier,Germany
Augsburg Airport,commercial airfield,Augsburg,Germany
Borkum Airfield,commercial airfield,Borkum,Germany
