col0,col1,col2,col3,col4,col5,col6
MTHFR deficiency,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,MTHFR deficiency,Inherited metabolic disorder
Pathways in clear cell renal cell carcinoma,Egon Willighagen,signaling pathway,biological pathway,Homo sapiens,Pathways in clear cell renal cell carcinoma,renal clear cell carcinoma
Disorders of Folate Metabolism and Transport,Andra Waagmeester,disease pathway,biological pathway,Homo sapiens,Disorders of Folate Metabolism and Transport,vitamin B12 deficiency
PI3K-Akt Signaling Pathway,Egon Willighagen,signaling pathway,biological pathway,Homo sapiens,PI3K-Akt Signaling Pathway,cancer
Wnt Signaling in Kidney Disease,Martina Summer-Kutmon,signaling pathway,biological pathway,Homo sapiens,Wnt Signaling in Kidney Disease,kidney disease
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",Egon Willighagen,Breast cancer pathway,biological pathway,Homo sapiens,"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",cancer
Retinoblastoma Gene in Cancer,Chris T. Evelo,disease pathway,biological pathway,Homo sapiens,Retinoblastoma Gene in Cancer,cancer
Spinal Cord Injury,Chris T. Evelo,disease pathway,biological pathway,Homo sapiens,Spinal Cord Injury,post-traumatic stress disorder
Gastric Cancer Network 2,Egon Willighagen,disease pathway,biological pathway,Homo sapiens,Gastric Cancer Network 2,cancer
RAC1/PAK1/p38/MMP2 Pathway,Susan Coort,disease pathway,biological pathway,Homo sapiens,RAC1/PAK1/p38/MMP2 Pathway,ovarian cancer
MFAP5-mediated ovarian cancer cell motility and invasiveness,Friederike Ehrhart,disease pathway,biological pathway,Homo sapiens,MFAP5-mediated ovarian cancer cell motility and invasiveness,ovarian cancer
Dual hijack model of Vif in HIV infection,Andra Waagmeester,regulatory pathway,biological pathway,Homo sapiens,Dual hijack model of Vif in HIV infection,human immunodeficiency virus infectious disease
