col0,col1,col2,col3,col4,col5,col6,col7
Dunkirk,Chautauqua County,188,4.55,1880-01-01,United States of America,city,12563
Troy,Rensselaer County,152,28.637496,1787-01-01,United States of America,city,49170
Corning,Steuben County,284,8.445933,1796-01-01,United States of America,city,11183
White Plains,Westchester County,65,25.601499,1683-01-01,United States of America,city,57866
Schenectady,Schenectady County,74,28.430438,1765-01-01,United States of America,city,66135
Auburn,Cayuga County,209,21.784449,1793-01-01,United States of America,city,27687
Ithaca,Tompkins County,136,15.727155,1888-01-01,United States of America,city,30014
Binghamton,Broome County,866,28.829008,1834-01-01,United States of America,city,47376
Yonkers,Westchester County,25,52.56768,1646-01-01,United States of America,city,195976
Syracuse,Onondaga County,116,66.330586,1848-01-01,United States of America,city,144669
Buffalo,Erie County,183,135.955866,1832-01-01,United States of America,city,261310
