col0,col1,col2,col3,col4,col5
EK Draconis,variable star,7.604,16.8,34.4502,-21.46
Beta Canum Venaticorum,variable star,4.25,1.2,8.6111,6.41
HD 186104,G-type main-sequence star,6.096,3.6,38.7097,-61.39
HD 200391,G-type main-sequence star,7.374,105.8,50.7823,-152.4
EK Draconis,G-type main-sequence star,7.604,16.8,34.4502,-21.46
AK Pictoris,G-type main-sequence star,6.182,15.5,20.9177,35
AF Lep,G-type main-sequence star,6.295,54.7,26.8773,20.61
54 Cam,G-type main-sequence star,6.49,12,99.6066,40.8
39 Ser,G-type main-sequence star,6.12,4.2,17.3662,40.18
24 LMi,G-type main-sequence star,6.465,5.7,33.2993,29.07
16 Ursae Majoris,G-type main-sequence star,5.2,6.5,19.6589,-15.4
