col0,col1,col2,col3,col4,col5,col6
Le Jeune Township,255,Mékinac Regional County Municipality,1892-07-09,Canada,geographical township of Quebec,Paul Le Jeune
Mékinac,238,Trois-Rives,1874-11-07,Canada,geographical township of Quebec,Mékinac Lake
Radnor Township,178,Mékinac Regional County Municipality,1855-06-02,Canada,geographical township of Quebec,Radnorshire
Talon,244,Sainte-Lucie-de-Beauregard,1920-10-04,Canada,geographical township of Quebec,Jean Talon
Patton,152.1,Sainte-Apolline-de-Patton,1871-08-05,Canada,geographical township of Quebec,William Randall Patton
Montminy,126,Saint-Paul-de-Montminy,1857-02-14,Canada,geographical township of Quebec,Louis-Antoine Montminy
Laterrière,202.35,Saguenay,1850-03-23,Canada,geographical township of Quebec,Marc-Pascal de Sales Laterrière
Chabot,274,Saint-Athanase,1863-02-14,Canada,geographical township of Quebec,Jean Chabot
Abercromby,93,Saint-Hippolyte,1842-08-24,Canada,geographical township of Quebec,James Abercrombie
Sagard Township,21855,Capitale-Nationale,1919-06-14,Canada,geographical township of Quebec,Gabriel Sagard
Joffre,25370,Bas-Saint-Laurent,1916-09-16,Canada,geographical township of Quebec,Joseph Joffre
