col0,col1,col2,col3,col4
cour du Coq,94,11th arrondissement of Paris,rue Saint-Sabin,France
cour du Chêne-Vert,72,12th arrondissement of Paris,rue Saint-Nicolas,France
cour de la Ferme-Saint-Lazare,162,10th arrondissement of Paris,rue Léon-Schwartzenberg,France
cour des Fabriques,160,11th arrondissement of Paris,rue Jean-Pierre-Timbaud,France
cour Jasmin,32,16th arrondissement of Paris,rue Jasmin,France
cour Saint-Émilion,220,12th arrondissement of Paris,rue Gabriel-Lamé,France
cour Damoye,124,11th arrondissement of Paris,rue Daval,France
cour du Minervois,40,12th arrondissement of Paris,place des Vins-de-France,France
cour Saint-Éloi,150,12th arrondissement of Paris,passage du Génie,France
cour des Petites-Écuries,260,10th arrondissement of Paris,passage des Petites-Écuries,France
cour de la Ferme-Saint-Lazare,162,10th arrondissement of Paris,passage de la Ferme-Saint-Lazare,France
cour Saint-Émilion,220,12th arrondissement of Paris,passage Saint-Vivant,France
cour Bérard,43,4th arrondissement of Paris,impasse Guéménée,France
cour du Commerce-Saint-André,120,6th arrondissement of Paris,cour de Rohan,France
