col0,col1,col2,col3,col4
square Frédéric-Vallois,rue de Vouillé,15th arrondissement of Paris,40,landlord
square Jules-Chéret,rue Mendelssohn,20th arrondissement of Paris,55,Jules Chéret
square Antoine-Arnauld,rue Antoine-Arnauld,16th arrondissement of Paris,24,Antoine Arnauld
square Alfred-Dehodencq,rue Alfred-Dehodencq,16th arrondissement of Paris,37,Alfred Dehodencq
square Adanson,rue Monge,5th arrondissement of Paris,86,Michel Adanson
square La Bruyère,rue Jean-Baptiste-Pigalle,9th arrondissement of Paris,43,Jean de La Bruyère
square Emmanuel-Chabrier,square Fernand-de-la-Tombelle,17th arrondissement of Paris,54,Emmanuel Chabrier
square Alain-Fournier,rue de la Briqueterie,14th arrondissement of Paris,90,Alain-Fournier
square Alboni,rue de l'Alboni,Paris,267,Marietta Alboni
square Brizeux,rue de Ménilmontant,20th arrondissement of Paris,125,Auguste Brizeux
square Roland-Garros,rue du Capitaine-Ferber,20th arrondissement of Paris,44,Roland Garros
square Ornano,boulevard Ornano,18th arrondissement of Paris,66,Philippe Antoine d'Ornano
square Gabriel-Fauré,rue Legendre,17th arrondissement of Paris,165,Gabriel Fauré
square Lamarck,rue Lamarck,18th arrondissement of Paris,51,Jean-Baptiste de Lamarck
square La Fontaine,rue Jean-de-La-Fontaine,16th arrondissement of Paris,53,Jean de La Fontaine
