col0,col1,col2,col3,col4
Gambit,"Star Trek: The Next Generation, season 7",English,4:3,two-part episode
Future's End,"Star Trek: Voyager, season 3",English,4:3,two-part episode
Birthright,"Star Trek: The Next Generation, season 6",English,4:3,two-part episode
Basics,"Star Trek: Voyager, season 1",English,4:3,two-part episode
Scorpion,"Star Trek: Voyager, season 3",English,4:3,two-part episode
Emissary,"Star Trek: Deep Space Nine, season 1",English,4:3,two-part episode
Encounter at Farpoint,"Star Trek: The Next Generation, season 1",English,4:3,two-part episode
Broken Bow,"Star Trek: Enterprise, season 1",English,16:9,two-part episode
Shockwave,"Star Trek: Enterprise, season 2",English,16:9,two-part episode
Chain of Command,"Star Trek: The Next Generation, season 6",English,4:3,two-part episode
"In a Mirror, Darkly","Star Trek: Enterprise, season 4",English,16:9,two-part episode
All Good Things…,"Star Trek: The Next Generation, season 7",English,4:3,two-part episode
The Best of Both Worlds,"Star Trek: The Next Generation, season 3",English,4:3,two-part episode
