col0,col1,col2,col3,col4,col5
Republic of Cyprus,1960-08-16,free country,flag of Cyprus,BS 1363,Central Bank of Cyprus
Bulgaria,1990-01-01,free country,flag of Bulgaria,Schuko,Bulgarian National Bank
United States of America,1776-07-04,free country,flag of the United States,NEMA 1-15,Federal Reserve System
Slovenia,1991-06-25,free country,flag of Slovenia,Schuko,Bank of Slovenia
Uruguay,1825-01-01,free country,flag of Uruguay,Schuko,Central Bank of Uruguay
Montenegro,2006-06-03,partly free country,flag of Montenegro,Schuko,Central Bank of Montenegro
Turkmenistan,1991-10-27,not-free country,flag of Turkmenistan,Schuko,Central Bank of Turkmenistan
East Timor,2002-05-20,partly free country,flag of East Timor,Schuko,Banco Central de Timor-Leste
Trinidad and Tobago,1962-08-31,free country,flag of Trinidad and Tobago,NEMA 1-15,Central Bank of Trinidad and Tobago
Uzbekistan,1991-01-01,not-free country,flag of Uzbekistan,Schuko,Central Bank of Uzbekistan
Paraguay,1811-01-01,partly free country,flag of Paraguay,Europlug,Central Bank of Paraguay
Nicaragua,1821-01-01,partly free country,flag of Nicaragua,NEMA 1-15,Central Bank of Nicaragua
Costa Rica,1821-01-01,free country,flag of Costa Rica,NEMA 1-15,Central Bank of Costa Rica
