col0,col1,col2,col3,col4,col5,col6,col7
Arrondissement of Mouscron,250,Belgium,76297,Lille metropolis,Mouscron,Hainaut,101.17
Arrondissement of Tournai,396,Belgium,147011,Lille metropolis,Tournai,Hainaut,607.52
Arrondissement of Ath,299,Belgium,86782,Lille metropolis,Chièvres,Hainaut,487.37
Arrondissement of Tournai,396,Belgium,147011,Lille metropolis,Brunehaut,Hainaut,607.52
Arrondissement of Ath,299,Belgium,86782,Lille metropolis,Ath,Hainaut,487.37
Arrondissement of Tournai,396,Belgium,147011,Lille metropolis,Antoing,Hainaut,607.52
Arrondissement of Huy,373,Belgium,113097,Arrondissement of Marche-en-Famenne,Verlaine,Liège,659.36
Arrondissement of Verviers,653,Belgium,287374,Arrondissement of Marche-en-Famenne,Trois-Ponts,Liège,2016.22
Arrondissement of Huy,373,Belgium,113097,Arrondissement of Marche-en-Famenne,Tinlot,Liège,659.36
Arrondissement of Verviers,653,Belgium,287374,Arrondissement of Marche-en-Famenne,Olne,Liège,2016.22
Arrondissement of Huy,373,Belgium,113097,Arrondissement of Marche-en-Famenne,Marchin,Liège,659.36
