col0,col1,col2,col3,col4
Widelands,free or open-source video game,Linux,Esperanto,C++
Freeciv,free or open-source video game,Commodore Amiga,Slovene,C
Widelands,free or open-source video game,Microsoft Windows,Persian,C++
Freeciv,free or open-source video game,Linux,Esperanto,C
The Battle For Wesnoth,application,Microsoft Windows,Traditional Chinese,Java
Widelands,free or open-source video game,Microsoft Windows,Portuguese,C++
Freeciv,free or open-source video game,Microsoft Windows,Japanese,C
Yo Frankie!,free or open-source video game,Microsoft Windows,English,Python
Widelands,free or open-source video game,Microsoft Windows,Basque,C++
0 A.D.,free or open-source video game,Linux,multiple languages,JavaScript
