col0,col1,col2,col3,col4,col5
Lincoln County,Lincolnton,"National Register of Historic Places listings in Lincoln County, North Carolina",Lincoln Parish,Gaston County,795
Mecklenburg County,Charlotte,"National Register of Historic Places listings in Mecklenburg County, North Carolina",Mecklenburg County,Gaston County,1415
Lincoln County,Lincolnton,"National Register of Historic Places listings in Lincoln County, North Carolina",Lincoln County,Gaston County,795
Moore County,Carthage,"National Register of Historic Places listings in Moore County, North Carolina",Moore County,Cumberland County,1828
Lincoln County,Lincolnton,"National Register of Historic Places listings in Lincoln County, North Carolina",Lincoln County,Cleveland County,795
McDowell County,Marion,"National Register of Historic Places listings in McDowell County, North Carolina",McDowell County,Rutherford County,1156
Mecklenburg County,Charlotte,"National Register of Historic Places listings in Mecklenburg County, North Carolina",Mecklenburg County,Union County,1415
Moore County,Carthage,"National Register of Historic Places listings in Moore County, North Carolina",Moore County,Richmond County,1828
Mecklenburg County,Charlotte,"National Register of Historic Places listings in Mecklenburg County, North Carolina",Mecklenburg County,Lincoln County,1415
Moore County,Carthage,"National Register of Historic Places listings in Moore County, North Carolina",Moore County,Scotland County,1828
