col0,col1,col2,col3,col4,col5
Macedonia,-0807-01-01T00:00:00Z,Pella,oligarchy,empire,Ancient Macedonian
Kingdom of Aksum,-0400-01-01T00:00:00Z,Axum,feudal monarchy,country,Himyaritic language
Taungoo Dynasty,1486-01-01,Inwa,monarchy,dynasty,Northern Thai
Ag Qoyunlu Tribe,1378-01-01,Baghdad,monarchy,tribe,Persian
Kingdom of Pamplona,0824-01-01,Pamplona,hereditary monarchy,historical country,French
Kyivska Rus',0860-01-01,Kyiv,monarchy,historical country,Old East Slavic
Kingdom of Croatia,0925-01-01,Nin,absolute monarchy,historical country,Latin
Ag Qoyunlu Tribe,1378-01-01,Baghdad,monarchy,historical country,Persian
Kingdom of Pamplona,0824-01-01,Pamplona,hereditary monarchy,realm,French
Principality of Khachen,1261-01-01,Zar,principality,realm,Armenian
Kyivska Rus',0860-01-01,Kyiv,monarchy,realm,Old East Slavic
Kingdom of Croatia,0925-01-01,Nin,absolute monarchy,realm,Latin
Ag Qoyunlu Tribe,1378-01-01,Baghdad,monarchy,realm,Persian
