col0,col1,col2,col3,col4,col5,col6
Garfield,Australia,gazetted locality of Victoria,894,James A. Garfield,Victoria,895
Epping,Australia,suburb,16086,Epping Forest,Victoria,16305
Elsternwick,Australia,suburb,4905,Elstronwick,Victoria,5450
Dallas,Australia,suburb,3418,Dallas Brooks,Victoria,3393
Cremorne,Australia,suburb,1066,Cremorne Gardens,Victoria,959
Clifton Hill,Australia,suburb,3064,Clifton,Victoria,3273
Carnegie,Australia,suburb,8362,Andrew Carnegie,Victoria,9025
Burnley,Australia,suburb,368,William Burnley,Victoria,404
Broadmeadows,Australia,suburb,6203,meadow,Victoria,5771
Bentleigh,Australia,suburb,7799,Thomas Bent,Victoria,8354
Balaclava,Australia,suburb,2669,Battle of Balaclava,Victoria,2728
