col0,col1,col2,col3,col4,col5,col6
Niš,Nišava District,Ottův slovník naučný,597000000,Serbian city,Skopje,Nišava District
Užice,Zlatibor District,Brockhaus and Efron Encyclopedic Dictionary,667,Serbian city,Kursk,Zlatibor District
Niš,Nišava District,Ottův slovník naučný,597000000,city,Skopje,Nišava District
Prokuplje,Toplica District,Brockhaus and Efron Encyclopedic Dictionary,759,Serbian city,Kočevje Municipality,Toplica District
Pirot,Pirot Municipality,Brockhaus and Efron Encyclopedic Dictionary,1232,Serbian city,Montana,Pirot Municipality
Sremska Mitrovica,Srem District,Brockhaus and Efron Encyclopedic Dictionary,351,Serbian city,Banja Luka,Srem District
Vršac,Vršac municipality,Brockhaus and Efron Encyclopedic Dictionary,198.5,Serbian city,Novo Mesto,Vršac municipality
Pančevo,South Banat District,Ottův slovník naučný,148.8,Serbian city,Boulogne-Billancourt,South Banat District
Niš,Nišava District,Ottův slovník naučný,597000000,Serbian city,Kraków,Nišava District
Zaječar,Zaječar District,Brockhaus and Efron Encyclopedic Dictionary,1068,Serbian city,Vidin,Zaječar Municipality
Niš,Niš Eyalet,Ottův slovník naučný,597000000,city,Belgorod,Nišava District
Prokuplje,Prokuplje Municipality,Brockhaus and Efron Encyclopedic Dictionary,759,Serbian city,Kočevje Municipality,Toplica District
Pirot,Pirot District,Brockhaus and Efron Encyclopedic Dictionary,1232,Serbian city,Montana,Pirot Municipality
Zrenjanin,Banat (1941-1944),Brockhaus and Efron Encyclopedic Dictionary,190.9,Serbian city,Timișoara,Socialist Autonomous Province of Vojvodina
Novi Sad,"Banat, Bačka and Baranja",Ottův slovník naučný,106200000,Serbian city,Nizhny Novgorod,South Bačka District
