col0,col1,col2,col3,col4,col5
Chassagne-Montrachet wine,appellation d'origine contrôlée,French wine,1937-01-01,Côte-d’Or,France
Saint-Georges-Saint-Émilion,appellation d'origine contrôlée,French wine,1936-01-01,Gironde,France
Rosé des Riceys AOC,appellation d'origine contrôlée,French wine,1947-01-01,Aube,France
Rangen,appellation d'origine contrôlée,Alsace Grand Cru AOC,1983-01-01,Vieux-Thann,France
Quarts-de-chaume,appellation d'origine contrôlée,French wine,1954-01-01,Maine-et-Loire,France
Malepère,appellation d'origine contrôlée,French wine,2007-01-01,Aude,France
Saussignac AOC,appellation d'origine contrôlée,French wine,1982-01-01,Dordogne,France
Pessac-Léognan,appellation d'origine contrôlée,French wine,1987-01-01,Gironde,France
Saint-Chinian AOC,appellation d'origine contrôlée,French wine,1982-01-01,Hérault,France
Saint-Estèphe AOC,appellation d'origine contrôlée,French wine,1936-01-01,Gironde,France
Steinklotz,appellation d'origine contrôlée,Alsace Grand Cru AOC,1992-01-01,Bas-Rhin,France
