col0,col1,col2,col3,col4,col5,col6
也,kanji,jinmeiyō kanji,者,Basic Hanja for educational use,야,CJK Unified Ideographs
西,kanji,grade 2 kyōiku kanji,先,Basic Hanja for educational use,서,CJK Unified Ideographs
之,kanji,jinmeiyō kanji,止,Basic Hanja for educational use,지,CJK Unified Ideographs
父,chữ Nôm,grade 2 kyōiku kanji,雨,Basic Hanja for educational use,부,CJK Unified Ideographs
雪,legacy Hanzi,grade 2 kyōiku kanji,相,Basic Hanja for educational use,설,CJK Unified Ideographs
天,chữ Nôm,grade 1 kyōiku kanji,年,Basic Hanja for educational use,천,CJK Unified Ideographs
魚,kanji,grade 2 kyōiku kanji,語,Basic Hanja for educational use,어,CJK Unified Ideographs
相,kanji,grade 3 kyōiku kanji,良,Table of hanja for personal names,상,CJK Unified Ideographs
箱,legacy Hanzi,grade 3 kyōiku kanji,良,Table of hanja for personal names,상,CJK Unified Ideographs
相,kanji,grade 3 kyōiku kanji,息,Basic Hanja for educational use,상,CJK Unified Ideographs
