col0,col1,col2,col3,col4
Bonestell,Mare Acidalium quadrangle,40.7,Mars,Chesley Bonestell
Green,Argyre quadrangle,182,Mars,Nathaniel Everett Green
Fesenkov,Lunae Palus quadrangle,87.4,Mars,Vasily Fesenkov
Wright Crater,Phaethontis quadrangle,114,Mars,William Hammond Wright
Hadley,Eridania quadrangle,115,Mars,George Hadley
Teisserenc de Bort,Arabia quadrangle,115,Mars,Léon Teisserenc de Bort
Cerulli,Ismenius Lacus quadrangle,114,Mars,Vincenzo Cerulli
Caxias,Phoenicis Lacus quadrangle,25.9,Mars,"Luís Alves de Lima e Silva, Duke of Caxias"
Púnsk,Oxia Palus quadrangle,11.2,Mars,Puńsk
Crommelin,Oxia Palus quadrangle,110,Mars,Andrew Claude de la Cherois Crommelin
Gilbert,Mare Australe quadrangle,121,Mars,Grove Karl Gilbert
Clark,Phaethontis quadrangle,97.5,Mars,Alvan Clark
Lyot,Ismenius Lacus quadrangle,222,Mars,Bernard Lyot
Luzin,Arabia quadrangle,101,Mars,Nikolai Luzin
