col0,col1,col2,col3,col4
Sierra Army Depot,United States of America,1942-01-01,United States Army,California
Parks Reserve Forces Training Area,United States of America,1943-01-01,United States Army,California
Fort Hoskins,United States of America,1856-01-01,United States Army,Benton County
Gary Air Force Base,United States of America,1943-01-01,United States Air Force,Texas
Fort Robert Smalls,United States of America,1863-01-01,Union Army,Pennsylvania
Fort Laughlin,United States of America,1863-01-01,Union Army,Pennsylvania
Havre Air Force Station,United States of America,1951-01-01,Aerospace Defense Command,Montana
Glasgow Air Force Base,United States of America,1957-01-01,United States Air Force,Montana
Hereford Army Airfield,United States of America,1942-01-01,United States Army Air Forces,Arizona
Fort Yuma,United States of America,1851-01-01,Bureau of Indian Affairs,California
Naval Live Oaks Reservation,United States of America,1828-01-01,United States Navy,Gulf Breeze
