col0,col1,col2,col3,col4
La State Police Troop F heliport,2004-01-07,La State Police Troop E heliport,Louisiana,heliport
St James heliport,2006-01-06,St. James Municipal Airport,Louisiana,heliport
La State Police Troop D heliport,1985-01-02,La State Police Troop E heliport,Louisiana,heliport
Mercy Hospital Kingfisher heliport,2018-01-01,Mercy Hospital Ardmore heliport,Oklahoma,heliport
Mercy Hospital Ardmore heliport,2006-01-04,Mercy Hospital Kingfisher heliport,Oklahoma,heliport
Wilson Airport,1961-01-03,Rocky Mount-Wilson Regional Airport,Montgomery County,airport
University of Mississippi Medical Center Airport,1999-01-06,University of Illinois Willard Airport,Hinds County,airport
Air Evac Base 86,2018-01-06,Cardiff Brothers Airport,Sumter County,heliport
Wilson Airport,1961-01-03,Rocky Mount-Wilson Regional Airport,Montgomery County,heliport
University of Mississippi Medical Center Airport,1999-01-06,University Of Chicago Hospitals,Hinds County,heliport
