col0,col1,col2,col3,col4,col5
Paibian,Guzhangian,Jiangshanian,Furongian,Paibi,stage
Orleanian,Agenian,Astaracian,Miocene,Orléans,stage
Sandbian,Darriwilian,Katian,Upper Ordovician,Södra Sandby,stage
Fortunian,Ediacaran,Cambrian Stage 2,Terreneuvian,Fortune,stage
Tremadocian,Cambrian Stage 10,Floian,Lower Ordovician,Tremadog,stage
Moscovian,Bashkirian,Kasimovian,Pennsylvanian,Moscow,stage
Pragian,Lochkovian,Emsian,Lower Devonian,Prague,stage
Kungurian,Artinskian,Roadian,Cisuralian,Kungur,stage
Toarcian,Pliensbachian,Aalenian,Early Jurassic,Thouars,stage
Olenekian,Induan,Anisian,Early Triassic,Olenyok River,stage
Sakmarian,Asselian,Artinskian,Cisuralian,Sakmara River,stage
Ludfordian,Gorstian,Přídolí,Ludlow,Ludford,stage
