col0,col1,col2,col3,col4,col5,col6
Parc des Princes,municipality of Paris,multi-sports venue,1967-07-08,association football,Paris Saint-Germain F.C.,Paris Saint-Germain F.C.
Stade Raoul-Barrière,Béziers,rugby union stadium,1989-01-01,rugby union,AS Béziers Hérault,AS Béziers Hérault
Estádio Universitário de Lisboa,University of Lisbon,rugby union stadium,1989-08-22,tennis,Portugal national rugby union team,University of Lisbon
Waikato Stadium,Hamilton,rugby union stadium,2000-01-01,rugby union,Waikato RU,Waikato RU
Stade Mayol,Toulon,rugby union stadium,1919-01-01,rugby union,RC Toulonnais,Toulon
Parc des Sports Aguiléra,Biarritz,rugby union stadium,1905-01-01,rugby union,Biarritz Olympique,Biarritz Olympique
Ravenhill Stadium,Irish Rugby Football Union,rugby union stadium,1922-01-01,rugby union,Ulster Rugby,Ulster Rugby
Twickenham Stadium,Rugby Football Union,rugby union stadium,1907-01-01,rugby union,England national rugby union team,Rugby Football Union
Parc des Princes,municipality of Paris,rugby union stadium,1967-07-08,association football,Paris Saint-Germain F.C.,Paris Saint-Germain F.C.
Cluj Arena,Cluj County,rugby union stadium,2009-01-01,association football,FC Universitatea Cluj,FC Universitatea Cluj
Etihad Stadium,Manchester City Council,rugby union stadium,2002-01-01,association football,Manchester City F.C.,Manchester City F.C.
Estádio Universitário de Lisboa,University of Lisbon,association football stadium,1989-08-22,tennis,Portugal national rugby union team,University of Lisbon
Waikato Stadium,Hamilton,association football stadium,2000-01-01,rugby union,Waikato RU,Waikato RU
