col0,col1,col2,col3,col4
Gooik–Geraardsbergen–Gooik,Belgium,May,1.1,2011-01-01
Grand Prix cycliste de Gatineau,Canada,May,1.1,2010-01-01
Omloop van Borsele,Netherlands,April,1.1,2002-01-01
Grand Prix de Dottignies,Belgium,April,1.1,2002-01-01
Dwars door de Westhoek,Belgium,April,1.1,2009-01-01
Strade Bianche Donne,Italy,March,1.1,2015-01-01
Omloop van het Hageland,Belgium,March,1.1,2005-01-01
Omloop Het Nieuwsblad – women's race,Belgium,February,1.1,2006-01-01
Tour of South China Sea,People's Republic of China,December,cycling race,1996-01-01
Grote Prijs Stad Zottegem,Belgium,August,cycling race,1934-01-01
U23 Liège–Bastogne–Liège,Belgium,April,cycling race,1986-01-01
Gran Premio Industria e Commercio di Prato,Italy,September,sports festival,1946-01-01
