col0,col1,col2,col3,col4,col5,col6,col7
1978 German Badminton Championships,1979 German Badminton Championships,badminton,1978 German Badminton Championships – Men's singles,Mülheim an der Ruhr,1978-01-01,national championship,1977 German Badminton Championships
1976 German Badminton Championships,1977 German Badminton Championships,badminton,1976 German Badminton Championships – Men's singles,Duisburg,1976-01-01,national championship,1975 German Badminton Championships
1995 German Badminton Championships,1996 German Badminton Championships,badminton,1995 German Badminton Championships – Men's singles,Hanover,1995-01-01,national championship,1994 German Badminton Championships
1984 German Badminton Championships,1985 German Badminton Championships,badminton,1984 German Badminton Championships – Men's singles,Oberhausen,1984-01-01,national championship,1983 German Badminton Championships
1985 German Badminton Championships,1986 German Badminton Championships,badminton,1985 German Badminton Championships – Men's singles,Berlin,1985-01-01,national championship,1984 German Badminton Championships
1974 German Badminton Championships,1975 German Badminton Championships,badminton,1974 German Badminton Championships – Men's singles,Bonn,1974-01-01,national championship,1973 German Badminton Championships
1973 German Badminton Championships,1974 German Badminton Championships,badminton,1973 German Badminton Championships – Men's singles,Berlin,1973-01-01,national championship,1972 German Badminton Championships
1970 German Badminton Championships,1971 German Badminton Championships,badminton,1970 German Badminton Championships – Men's singles,Mülheim an der Ruhr,1970-01-01,national championship,1969 German Badminton Championships
1966 German Badminton Championships,1967 German Badminton Championships,badminton,1966 German Badminton Championships – Men's singles,Bonn,1966-01-01,national championship,1965 German Badminton Championships
1958 German Badminton Championships,1959 German Badminton Championships,badminton,1958 German Badminton Championships – Men's singles,Hamburg,1958-01-01,national championship,1957 German Badminton Championships
1954 German Badminton Championships,1955 German Badminton Championships,badminton,1954 German Badminton Championships – Men's singles,Bonn,1954-01-01,national championship,1953 German Badminton Championships
1959 German Badminton Championships,1960 German Badminton Championships,badminton,1959 German Badminton Championships – Men's singles,Munich,1959-01-01,national championship,1958 German Badminton Championships
1960 German Badminton Championships,1961 German Badminton Championships,badminton,1960 German Badminton Championships – Men's singles,Berlin,1960-01-01,national championship,1959 German Badminton Championships
1955 German Badminton Championships,1956 German Badminton Championships,badminton,1955 German Badminton Championships – Men's singles,Düsseldorf,1955-01-01,national championship,1954 German Badminton Championships
