col0,col1,col2,col3,col4,col5,col6
1990 Asian TV Cup,7,Go,Masaki Takemiya,1990-01-01,1990-08-15,1989 Asian TV Cup
1991 Asian TV Cup,7,Go,Cho Hun-hyun,1991-01-01,1991-08-30,1990 Asian TV Cup
2016 Asian TV Cup,7,Go,Lee Se-dol,2016-01-01,2016-09-04,2015 Asian TV Cup
2008 Asian TV Cup,7,Go,Cho Chikun,2008-01-01,2008-06-04,2007 Asian TV Cup
2007 Asian TV Cup,7,Go,Cho Chikun,2007-01-01,2007-06-14,2006 Asian TV Cup
2006 Asian TV Cup,7,Go,Lee Chang-ho,2006-01-01,2006-08-11,2005 Asian TV Cup
2014 Asian TV Cup,7,Go,Lee Se-dol,2014-01-01,2014-08-19,2013 Asian TV Cup
2013 Asian TV Cup,7,Go,Lee Chang-ho,2013-01-01,2013-06-30,2012 Asian TV Cup
2012 Asian TV Cup,7,Go,Kong Jie,2012-01-01,2012-08-17,2011 Asian TV Cup
2011 Asian TV Cup,7,Go,Kong Jie,2011-01-01,2011-06-10,2010 Asian TV Cup
2010 Asian TV Cup,7,Go,Kong Jie,2010-01-01,2010-06-03,2009 Asian TV Cup
