col0,col1,col2,col3,col4
Modestino Kanto,Brazil,heritage registered by RJ Monuments Inventory,monolith,Rio de Janeiro
Pedra Letreira,Portugal,Immovable Cultural Heritage of Public Interest,monolith,Alvares
Kilnaruane Pillar Stone,Ireland,national monument of Ireland,monolith,County Cork
Kobak Group monoliths,India,Monument of National Importance,monolith,Dima Hasao district
Khartong Group of monoliths,India,Monument of National Importance,monolith,Dima Hasao district
Derebara Group monoliths,India,Monument of National Importance,monolith,Cachar district
Bolosaon Group monoliths,India,Monument of National Importance,monolith,Dima Hasao district
Kasomari Pathar,India,Monument of National Importance,monolith,Golaghat district
Ara de Trajano,Portugal,National Monument of Portugal,monolith,Caldelas
Castle Hill,Australia,listed on the Queensland Heritage Register,monolith,Queensland
Traves holed stone,France,monument historique classé,monolith,Traves
Aroz holed stone,France,monument historique classé,monolith,Aroz
