col0,col1,col2,col3,col4
Huberfelsen in Alfeld,Naturdenkmal in Germany,Germany,Naturdenkmal in Germany,Alfeld
Ruine Hirschstein,castle ruin,Germany,architectural heritage monument in Bavaria,Bavaria
Burgruine Hohenstein,castle ruin,Germany,architectural heritage monument in Bavaria,Kirchensittenbach
Hügelfelsen,Spheroidal weathering,Germany,Naturdenkmal in Germany,Bischofsgrüner Forst
Ruine Hirschstein,Spheroidal weathering,Germany,architectural heritage monument in Bavaria,Bavaria
Hügelfelsen,rock,Germany,Naturdenkmal in Germany,Bischofsgrüner Forst
Fürstenstein,rock,Germany,Naturdenkmal in Germany,Goldkronacher Forst
Ahornfels,rock,Germany,Naturdenkmal in Germany,Neubauer Forst-Süd
Zellerfels,rock,Germany,Naturdenkmal in Germany,Weißenstadter Forst-Nord
Hügelfelsen,spur,Germany,Naturdenkmal in Germany,Bischofsgrüner Forst
Neubürg,spur,Germany,bodendenkmal,Mistelgau
