col0,col1,col2,col3,col4,col5,col6,col7
Cesnola krater,classical antiquity,114.9,-0800-01-01T00:00:00Z,Cesnola Painter,Metropolitan Museum of Art,United States of America,tree of life
Terracotta aryballos signed by Nearchos,classical antiquity,7.8,-0569-01-01T00:00:00Z,Nearchos,Metropolitan Museum of Art,United States of America,signature
Neck Amphora by Exekias,classical antiquity,40.5,-0600-01-01T00:00:00Z,Exekias,Altes Museum,Germany,Theseus
Horses Amphora,classical antiquity,88,-0659-01-01T00:00:00Z,anonymous,Athens,Greece,rosette
Terracotta amphora,classical antiquity,57.5,-0529-01-01T00:00:00Z,Andokides,Metropolitan Museum of Art,United States of America,sacrificial tripod
Kylix by the Providence Painter,classical antiquity,8.2,-0500-01-01T00:00:00Z,Greek vase-painter,Museum of Antiquities of the University of Heidelberg,Germany,meander
attic geometric Neck amphora,classical antiquity,67.5,-0720-01-01T00:00:00Z,Workshop of Athens 894,Museum August Kestner,Germany,meander
Kylix by the Providence Painter,classical antiquity,8.2,-0500-01-01T00:00:00Z,Greek vase-painter,Museum of Antiquities of the University of Heidelberg,Germany,oenochoe
Cesnola krater,classical antiquity,114.9,-0800-01-01T00:00:00Z,Cesnola Painter,Metropolitan Museum of Art,United States of America,hydria
Attic black-figure votive plate,classical antiquity,3.5,-0600-01-01T00:00:00Z,anonymous,Museum of Antiquities of the University of Heidelberg,Germany,bull
Horses Amphora,classical antiquity,88,-0659-01-01T00:00:00Z,anonymous,Athens,Greece,palmette
Kylix by the Providence Painter,classical antiquity,8.2,-0500-01-01T00:00:00Z,Greek vase-painter,Museum of Antiquities of the University of Heidelberg,Germany,krater
Horses Amphora,classical antiquity,88,-0659-01-01T00:00:00Z,anonymous,Athens,Greece,volute
