col0,col1,col2,col3
2005 Rogers Cup,2004 Rogers Cup (men),tennis,2005 Rogers Masters – Doubles
1991 Canadian Open,1990 Canadian Open,tennis,1991 Canadian Open - men's tournament
2001 Canada Masters and the Rogers AT&T Cup,2000 du Maurier Open,tennis,2001 Canada Masters
1999 du Maurier Open,1998 du Maurier Open,tennis,1999 du Maurier Open (men)
1993 Canadian Open,1992 Canadian Open,tennis,1993 Canadian Open - women's tournament
2006 Rogers Cup,2005 Rogers Cup,tennis,2006 Rogers Cup (men)
2007 Rogers Cup,2006 Rogers Cup,tennis,2007 Rogers Cup (women)
2013 Rogers Cup,2012 Rogers Cup,tennis,2013 Rogers Cup (women)
2012 Rogers Cup,2011 Rogers Cup,tennis,2012 Rogers Cup (women)
2005 Rogers Cup,2004 Rogers AT&T Cup,tennis,2005 Rogers Cup (men)
1999 du Maurier Open,1998 du Maurier Open,tennis,1999 du Maurier Open – Women's Doubles
2004 Rogers Cup,2003 Canada Masters,tennis,2004 Canada Masters – Doubles
2003 Canada Masters,2002 Canada Masters,tennis,2003 Canada Masters – Doubles
2006 Rogers Cup,2005 Rogers Cup,tennis,2006 Rogers Cup (women)
2005 Rogers Cup,2004 Rogers AT&T Cup,tennis,2005 Rogers Cup (women)
