col0,col1,col2,col3
FGBH,Entr'acte,2005–14,2017-06-19
Work 2006–2011,Entr'acte,cphon,2011-05-01
Kanal GENDYN,Editions Mego,UPIC Warp Tracks,2011-11-15
Convulsive Threshold,Editions Mego,3-Part In(ter)ventions,2013-05-15
Palimpsest,Mego,Yasunao Tone,2004-11-16
The KOLN ConZert Live 2008,Bam Balam Records,Strings & Percussion,2019-11-25
Kyoto Oct 21 2018,Slowdown Records,Dying Mapa Tapes,2019-09-20
Synergy between mercy and self-annihilation overturned,BLAST First (petite),Gravitoni,2010-07-01
"Become the Discovered, Not the Discoverer",RareNoiseRecords,Untitled 1991 Vol. 3,2019-09-27
Angry Eelectric Finger 2: Paraparaparallellogrammatica,Beta-lactam Ring Records,Angry Eelectric Finger 1: Tape Monkey Mooch,2004-12-01
Coastal Erosion,iDEAL Recordings,Crash for Hi-Fi Tapes,2019-07-24
As Anti as Possible,4iB Records,Zouvneree,2019-04-06
“Shall I download a blackhole and offer it to you” Live in Berlin 15.11.2007,BLAST First (petite),Katodivaihe,2009-07-06
Contrapt,Harbinger Sound,FGBH,2017-08-01
