col0,col1,col2,col3
Zoologia,zoology,Revista Brasileira de Zoologia,society journal
Journal of Integrative Medicine,alternative medicine,Zhong xi yi jie he xue bao,society journal
World Neurosurgery,neurosurgery,Surgical Neurosurgery,society journal
Zoologia,zoology,Revista Brasileira de Zoologia,scientific journal
Journal of Integrative Medicine,alternative medicine,Zhong xi yi jie he xue bao,scientific journal
World Neurosurgery,neurosurgery,Surgical Neurosurgery,scientific journal
Plant Diversity,biology,Plant diversity and resources,open-access journal
Zoologia,zoology,Revista Brasileira de Zoologia,open-access journal
Plant Diversity,biology,Plant diversity and resources,academic journal
Zoologia,zoology,Revista Brasileira de Zoologia,academic journal
Journal of Integrative Medicine,alternative medicine,Zhong xi yi jie he xue bao,academic journal
World Neurosurgery,neurosurgery,Surgical Neurosurgery,academic journal
Italian Journal of Paediatrics,pediatrics,The Italian journal of pediatrics,society journal
Journal of Separation Science,analytical chemistry,Journal of High Resolution Chromatography,society journal
Psychology & Psychotherapy,psychotherapy,The British Journal of Medical Psychology,society journal
