col0,col1,col2,col3,col4,col5
Officer of the Order of Cultural Merit,Commander of the Order of Cultural Merit,officer,1952-12-31,grade of an order,Knight of the Order of Cultural Merit
Cross Laureate of Saint Ferdinand,Great Laureate Cross of Saint Ferdinand,military decoration,1811-01-01,military decoration,Collective Laureate of Saint Ferdinand
Grand Officer of Order of Manuel Amador Guerrero,Grand Cross of Order of Manuel Amador Guerrero,grand officer,1953-10-29,grade of an order,Commander of Order of Manuel Amador Guerrero
Grand Officer of the National Order of Mali,Grand Cross of the National Order of Mali,grand officer,1963-05-31,grade of an order,Commander of the National Order of Mali
Grand Officer of the Order of the Condor of the Andes,Grand Cross of the Order of the Condor of the Andes,grand officer,1925-04-18,grade of an order,Commander of the Order of the Andes' Condor
Grand Cross of the Order of the Condor of the Andes,Grand Collar of the Order of the Andes' Condor,grand cross,1925-04-18,grade of an order,Grand Officer of the Order of the Condor of the Andes
Knight of the Order of the Cross of Vytis,Officer's Cross of the Order for Merits to Lithuania,knight,1919-07-30,grade of an order,Knight of the Order of Vytautas the Great
Commander of the Order of the Cross of Vytis,Grand Officer of the Order for Merits to Lithuania,commander,1919-07-30,grade of an order,Commander of the Order of Vytautas the Great
Grand Cross of the Order of the Cross of Vytis,Grand Cross with collar of the Order of Vytautas the Great,grand cross,1919-07-30,grade of an order,Grand Cross of the Order of Vytautas the Great
Knight Grand Cross of the Order for Merits to Lithuania,Grand Cross of the Order of Grand Duke Gediminas,grand cross,2002-06-18,grade of an order,Grand Officer of the Order for Merits to Lithuania
"Order of the National Coat of Arms, 4th Class","Order of the National Coat of Arms, 3rd Class",officer,1936-10-07,grade of an order,"Order of the National Coat of Arms, 5th Class"
"Order of the National Coat of Arms, 2nd Class","Recipient of the Order of the National Coat of Arms, 1st Class",grand officer,1936-10-07,grade of an order,"Order of the National Coat of Arms, 3rd Class"
Grand Knights with Star of the Order of the Falcon,Knight Grand Cross of the Order of the Falcon,commander,1921-07-03,grade of an order,Grand Knights of the Order of the Falcon
"Order of the Three Stars, 4th Class","Order of the Three Stars, 3rd Class",officer,1924-01-01,grade of an order,"Order of the Three Stars, 5th Class"
