col0,col1,col2,col3,col4
Whitechapel Gallery,1901-01-01,not-for-profit arts organization,London Borough of Tower Hamlets,United Kingdom
Fondazione Roberto Longhi,1971-01-01,not-for-profit arts organization,Florence,Italy
Portikus Frankfurt,1987-01-01,not-for-profit arts organization,Frankfurt am Main,Germany
CAPACOA,1987-01-07,membership organization,"Vanier, Ontario",Canada
Place des Arts,1972-01-01,performing arts center,British Columbia,Canada
Colegio Libre de Eméritos,1986-01-01,collegium,Madrid,Spain
Horse Hospital,1992-01-01,arts centre,London Borough of Camden,United Kingdom
Place des Arts,1972-01-01,arts educational institution,British Columbia,Canada
Horse Hospital,1992-01-01,veterinary hospital,London Borough of Camden,United Kingdom
CAPACOA,1987-01-07,umbrella organization,"Vanier, Ontario",Canada
Marciano Art Foundation,2017-05-25,art museum,Los Angeles,United States of America
Morat-Institut,1983-01-01,art museum,Freiburg im Breisgau,Germany
Whitechapel Gallery,1901-01-01,art museum,London Borough of Tower Hamlets,United Kingdom
CAPACOA,1987-01-07,nonprofit organization,"Vanier, Ontario",Canada
