col0,col1,col2,col3,col4,col5,col6,col7
Arrondissement of Bastogne,151,Belgium,48183,Arrondissement of Arlon,Sainte-Ode,Luxembourg,1043
Arrondissement of Marche-en-Famenne,164,Belgium,56143,Arrondissement of Dinant,Manhay,Luxembourg,953.69
Arrondissement of Bastogne,151,Belgium,48183,Arrondissement of Arlon,Vielsalm,Luxembourg,1043
Arrondissement of Marche-en-Famenne,164,Belgium,56143,Arrondissement of Huy,Marche-en-Famenne,Luxembourg,953.69
Arrondissement of Bastogne,151,Belgium,48183,Arrondissement of Arlon,Bastogne,Luxembourg,1043
Arrondissement of Neufchâteau,212,Belgium,63041,Arrondissement of Dinant,Wellin,Luxembourg,1354.57
Arrondissement of Virton,152,Belgium,53658,Arrondissement of Arlon,Tintigny,Luxembourg,771.19
Arrondissement of Neufchâteau,212,Belgium,63041,Arrondissement of Dinant,Tellin,Luxembourg,1354.57
Arrondissement of Virton,152,Belgium,53658,Arrondissement of Arlon,Saint-Léger,Luxembourg,771.19
Arrondissement of Neufchâteau,212,Belgium,63041,Arrondissement of Dinant,Saint-Hubert,Luxembourg,1354.57
Arrondissement of Virton,152,Belgium,53658,Arrondissement of Arlon,Rouvroy,Luxembourg,771.19
Arrondissement of Neufchâteau,212,Belgium,63041,Arrondissement of Dinant,Libramont-Chevigny,Luxembourg,1354.57
Arrondissement of Marche-en-Famenne,164,Belgium,56143,Arrondissement of Dinant,Marche-en-Famenne,Luxembourg,953.69
Arrondissement of Neufchâteau,212,Belgium,63041,Arrondissement of Dinant,Bouillon,Luxembourg,1354.57
