col0,col1,col2,col3,col4,col5,col6,col7
Classical World,Classical World,scientific journal,classics,Johns Hopkins University Press,United States of America,1907-01-01,English
Journal of Belgian History,Journal of Belgian History,scientific journal,history of Belgium,Centre for Historical Research and Documentation on War and Society,Belgium,1969-01-01,French
Journal of the History of Medicine and Allied Sciences,Journal of the History of Medicine and Allied Sciences,scientific journal,history of medicine,Oxford University Press,United States of America,1946-01-01,English
Journal of Interpretation Research,Journal of Interpretation Research,delayed open access journal,history,National Association for Interpretation,United States of America,1996-01-01,English
Journal of Belgian History,Journal of Belgian History,open-access journal,history of Belgium,Centre for Historical Research and Documentation on War and Society,Belgium,1969-01-01,French
Journal of Early Modern Studies,Journal of Early Modern Studies,open-access journal,history,Firenze University Press,Romania,2012-01-01,English
The Medieval Review,The Medieval Review,open-access journal,history,Indiana University,United States of America,1993-01-01,English
Journal of Early Modern Studies,Journal of Early Modern Studies,academic journal,history,Firenze University Press,Romania,2012-01-01,English
The Economic History Review,The Economic History Review,academic journal,history,Wiley-Blackwell,England,1927-01-01,English
Social History,Social History,history journal,history,Routledge,England,1976-01-01,English
German History,German History,history journal,history of Germany,Oxford University Press,England,1984-01-01,English
Hispanic American Historical Review,Hispanic American Historical Review,history journal,history,Duke University Press,United States of America,1918-01-01,English
Classical World,Classical World,history journal,classics,Johns Hopkins University Press,United States of America,1907-01-01,English
