col0,col1,col2,col3,col4
Ḩafīrat al Khalaf,Saudi Arabia,Ha'il Region,849,depression
Ḩafā'ir Umm Ghaḑá,Saudi Arabia,Ha'il Region,753,depression
Ḩafā'ir Nukhaylān,Saudi Arabia,Northern Borders Region,402,depression
Ţubayq Līnah,Saudi Arabia,Northern Borders Region,510,depression
Ţaffat ‘Arq,Saudi Arabia,Eastern Province,67,depression
Ţaffat Mish‘āb,Saudi Arabia,Eastern Province,5,depression
Ţaffat Fuḑayḩ,Saudi Arabia,Eastern Province,54,depression
Ţaffat al ‘Iz̧āmī,Saudi Arabia,Eastern Province,41,depression
Ţaffat al Murayr,Saudi Arabia,Eastern Province,40,depression
Şubr Abū ‘Alandah,Saudi Arabia,Eastern Province,195,depression
Zurayb at Tayyim,Saudi Arabia,Ha'il Region,744,depression
