col0,col1,col2,col3
GLX,1992-01-01,C,Silicon Graphics
XPages,2008-01-01,HyperText Markup Language,IBM
iOS,2007-06-29,C,Apple Inc.
WhiskerControl,2000-01-01,C++,University of Cambridge
Diffpack,1991-01-01,C++,Hans Petter Langtangen
FalconView,1994-01-01,C++,Georgia Tech Research Institute
Netscape Mail & Newsgroups,1998-10-01,C++,Netscape Comunications Corporation
Integrated Software for Imagers and Spectrometers,1971-01-01,C++,United States Geological Survey
Adobe Reader 5.0,2001-04-15,C++,Adobe
IBM Rational solution for Collaborative Lifecycle Management,2011-06-01,Java,IBM
UC Browser,2004-08-01,Java,UCWeb
YouTrack,2009-01-01,Java,JetBrains
OpenAM,2008-11-11,Java,Sun Microsystems
