col0,col1,col2,col3
The Amazon,1866-01-01,Russian,public domain
My Life,1896-01-01,Russian,public domain
The Portrait,1835-01-01,Russian,public domain
The Devil,1911-01-01,Russian,public domain
The Touchstone,1900-01-01,English,public domain
Ethan Frome,1911-09-01,English,public domain
The Turn of the Screw,1898-01-01,English,public domain
The Nigger of the 'Narcissus',1897-01-01,English,public domain
The Canterville Ghost,1887-01-01,English,public domain
Strange Case of Dr Jekyll and Mr Hyde,1886-01-01,English,public domain
The Beast in the Jungle,1903-01-01,English,public domain
