col0,col1,col2,col3,col4,col5
John,Latin script,Ioannis,Johnny,most frequent first names at birth in Rotterdam (1811-1913),May 3
David,Latin script,Dávid,Dave,most frequent first names at birth in Rotterdam (1811-1913),June 25
Peter,Latin script,Piotr,Pete,most frequent first names at birth in Rotterdam (1811-1913),June 29
Jonathan,Latin script,Jonatan,Jonny,"frequency of first names in the Netherlands, 2010",December 22
William,Latin script,Ghilherme,Willie,most frequent first names at birth in Rotterdam (1811-1913),May 28
Ronald,Latin script,Rajnald,Ronnie,"frequency of first names in the Netherlands, 2010",May 16
Thomas,Latin script,Tamás,Tom,most frequent first names at birth in Rotterdam (1811-1913),December 21
John,Latin script,Juan,Johnny,most frequent first names at birth in Rotterdam (1811-1913),May 3
William,Latin script,Willem,Willie,most frequent first names at birth in Rotterdam (1811-1913),May 28
Leonard,Latin script,Leonard,Len,most frequent first names at birth in Rotterdam (1811-1913),September 28
Samuel,Latin script,Sam,Sam,"frequency of first names in the Netherlands, 2010",September 1
William,Latin script,Vilho,Bill,most frequent first names at birth in Rotterdam (1811-1913),May 28
John,Latin script,Giuàn,Johnny,most frequent first names at birth in Rotterdam (1811-1913),May 3
William,Latin script,Gwilym,Bill,most frequent first names at birth in Rotterdam (1811-1913),May 28
Benjamin,Latin script,Benjaminas,Ben,most frequent first names at birth in Rotterdam (1811-1913),December 28
