col0,col1,col2,col3
Kingdom of Powys,historical country,denarius,Powys
Spanish Sahara,historical country,peseta,Western Sahara
Congress Poland,historical country,złoty,Russian Empire
Austrian Empire,historical country,thaler,German Confederation
Khedivate of Egypt,historical country,Egyptian pound,Ottoman Empire
Grand Duchy of Lithuania,historical country,złoty,Polish–Lithuanian Commonwealth
Kingdom of Powys,petty kingdom,denarius,Powys
Khedivate of Egypt,transcontinental country,Egyptian pound,Ottoman Empire
Spanish Sahara,territory,peseta,Western Sahara
Kingdom of Lombardy–Venetia,historical country,Lombardy-Venetia pound,Austrian Empire
Kingdom of Hanover,historical country,Hanoverian thaler,German Confederation
Kingdom of Württemberg,historical country,Württemberg gulden,German Empire
