col0,col1,col2,col3,col4,col5
The Three Caballeros,The Walt Disney Company,Don Patterson,The Flying Gauchito,RKO Pictures,Bill Peet
Saludos Amigos,The Walt Disney Company,Bill Justice,Pedro,RKO Pictures,Joe Grant
Fantasia 2000,Walt Disney Pictures,Andreas Deja,Piano Concerto No. 2,InterCom,Joe Ranft
The Three Caballeros,The Walt Disney Company,Ward Kimball,Las Posadas,RKO Pictures,Bill Peet
Fantasia 2000,Walt Disney Pictures,Andreas Deja,Rhapsody in Blue,Walt Disney Studios Motion Pictures,Oliver Thomas
The Three Caballeros,The Walt Disney Company,Frank Thomas,The Flying Gauchito,RKO Pictures,Bill Peet
Fantasia 2000,Walt Disney Pictures,Andreas Deja,The Sorcerer's Apprentice,Walt Disney Studios Motion Pictures,Oliver Thomas
The Three Caballeros,The Walt Disney Company,Ward Kimball,Baía,RKO Pictures,Bill Peet
Fantasia 2000,Walt Disney Pictures,Bill Thinnes,Firebird Suite - 1919 Version,Walt Disney Studios Motion Pictures,Kirk Hanson
The Three Caballeros,The Walt Disney Company,Ollie Johnston,The Flying Gauchito,RKO Pictures,Ernest Terrazzas
Fantasia 2000,Walt Disney Pictures,Bill Thinnes,Firebird Suite - 1919 Version,Walt Disney Studios Motion Pictures,Tom Sito
