col0,col1,col2,col3
Annapolis,12,Anne Arundel County,39418
Harrisburg,98,Dauphin County,49528
Atlanta,225,Fulton County,486290
Oklahoma City,366,Oklahoma County,591967
Lincoln,358,Lancaster County,280364
Salem,467,Marion County,154637
Cheyenne,1848,Laramie County,59466
Topeka,288,Shawnee County,127473
Pago Pago,9,Tutuila,3656
Saipan,1,Trust Territory of the Pacific Islands,48220
Dover,11,Kent County,36047
Olympia,29,Thurston County,46478
Boise,824,Ada County,205671
Richmond,457,Confederate States of America,223170
