col0,col1,col2,col3,col4,col5
Wat Phraya Suren,1882-01-01,Sam Wa Tawan Tok,Thailand,registered Thai historic site,wat
Wat Chaiwatthanaram,1630-01-01,Ban Pom,Thailand,registered Thai historic site,archaeological site
Wat Arun,1656-01-01,Bangkok,Thailand,registered Thai historic site,tourist attraction
Wat Chaloem Phra Kiat,1858-01-01,Bang Si Mueang,Thailand,registered Thai historic site,wat
Wat Suthat,1807-01-01,Sao Chingcha,Thailand,registered Thai historic site,wat
Wat Benchamabophit,1911-01-01,Dusit,Thailand,registered Thai historic site,wat
Wat Chaiwatthanaram,1630-01-01,Ban Pom,Thailand,registered Thai historic site,wat
Wat Pathum Wanaram,1857-01-01,Bangkok,Thailand,registered Thai historic site,wat
Wat Chomphuwek,1757-01-01,Tha Sai,Thailand,registered Thai historic site,wat
Wat Ratchanatdaram,1846-01-01,Bowon Niwet,Thailand,registered Thai historic site,wat
Phra Pathommachedi,1870-01-01,Phra Pathom Chedi,Thailand,registered Thai historic site,wat
Wat Pho,1788-01-01,Phra Borom Maha Ratchawang,Thailand,registered Thai historic site,wat
Wat Arun,1656-01-01,Wat Arun,Thailand,registered Thai historic site,tourist attraction
Wat Suthat,1807-01-01,Wat Ratchabophit,Thailand,registered Thai historic site,wat
Wat Ratchabophit,1869-01-01,Wat Ratchabophit,Thailand,registered Thai historic site,wat
