col0,col1,col2,col3,col4,col5,col6,col7
Cluj-Napoca,Stadionul Ion Moina,Cluj-Napoca,Cluj County,179.5,São Paulo,1213-01-01,capital of county in Romania
Oradea,Stadionul Iuliu Bodola,Oradea,Bihor County,116.1,Mantua,1113-01-01,capital of county in Romania
Cluj-Napoca,Stadionul Ion Moina,Cluj-Napoca,Cluj County,179.5,São Paulo,1213-01-01,big city
Oradea,Stadionul Iuliu Bodola,Oradea,Romanian Catholic Eparchy of Oradea Mare,116.1,Mantua,1113-01-01,border town
Cluj-Napoca,Stadionul Ion Moina,Cluj-Napoca,Cluj County,179.5,São Paulo,1213-01-01,municipiu of Romania
Brașov,Brașov Olympic Ice Rink,Brașov,Brașov County,267,Cleveland,1234-01-01,big city
Oradea,Stadionul Iuliu Bodola,Oradea,Bihor County,116.1,Mantua,1113-01-01,municipiu of Romania
Brașov,Brașov Olympic Ice Rink,Brașov,Brașov County,267,Cleveland,1234-01-01,municipiu of Romania
Cluj-Napoca,Stadionul Clujana,Cluj-Napoca,Cluj County,179.5,Caracas,1213-01-01,capital of county in Romania
Galați,Baza Sportivă Zoltan David,Galați,Galați County,246.4,Mumbai,1445-01-01,big city
Cluj-Napoca,Stadionul Clujana,Cluj-Napoca,Cluj County,179.5,Caracas,1213-01-01,big city
Galați,Baza Sportivă Zoltan David,Galați,Galați County,246.4,Mumbai,1445-01-01,municipiu of Romania
Cluj-Napoca,Stadionul Clujana,Cluj-Napoca,Cluj County,179.5,Caracas,1213-01-01,municipiu of Romania
Galați,Baza Sportivă Zoltan David,Galați,Galați County,246.4,Ancona,1445-01-01,big city
