col0,col1,col2,col3,col4,col5
1923 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1922 Scottish Badminton Championships,national championship
1922 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1921 Scottish Badminton Championships,national championship
1921 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1914 Scottish Badminton Championships,national championship
1914 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1913 Scottish Badminton Championships,national championship
1913 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1912 Scottish Badminton Championships,national championship
1912 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1911 Scottish Badminton Championships,national championship
1911 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1910 Scottish Badminton Championships,national championship
1910 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1909 Scottish Badminton Championships,national championship
2020 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2019 Scottish Badminton Championships,national championship
2019 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2018 Scottish Badminton Championships,national championship
2018 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2017 Scottish Badminton Championships,national championship
2017 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2016 Scottish Badminton Championships,national championship
2016 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2015 Scottish Badminton Championships,national championship
2004 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2003 Scottish Badminton Championships,national championship
2003 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2002 Scottish Badminton Championships,national championship
