col0,col1,col2,col3,col4,col5
Nebraska House of Representatives,Nebraska,member of the Nebraska House of Representatives,Nebraska Legislature,lower house of U.S. state legislature,United States of America
Wyoming House of Representatives,Wyoming,Member of the Wyoming House of Representatives,Wyoming Legislature,lower house of U.S. state legislature,United States of America
Oregon House of Representatives,Oregon,member of the Oregon House of Representatives,Oregon Legislative Assembly,lower house of U.S. state legislature,United States of America
Tennessee House of Representatives,Tennessee,member of the Tennessee House of Representatives,Tennessee General Assembly,lower house of U.S. state legislature,United States of America
Washington House of Representatives,Washington,member of the Washington House of Representatives,Washington State Legislature,lower house of U.S. state legislature,United States of America
Rhode Island House of Representatives,Rhode Island,member  of the Rhode Island House of Representatives,Rhode Island General Assembly,lower house of U.S. state legislature,United States of America
Mississippi House of Representatives,Mississippi,Member of the Mississippi House of Representatives,Mississippi Legislature,lower house of U.S. state legislature,United States of America
Kentucky House of Representatives,Kentucky,member of the Kentucky House of Representatives,Kentucky General Assembly,lower house of U.S. state legislature,United States of America
Michigan House of Representatives,Michigan,member of the Michigan House of Representatives,Michigan Legislature,lower house of U.S. state legislature,United States of America
Louisiana House of Representatives,Louisiana,member of the Louisiana House of Representatives,Louisiana State Legislature,lower house of U.S. state legislature,United States of America
