col0,col1,col2,col3,col4,col5
World journal of emergency surgery,works copyrighted by authors,DOAJ seal,World Society of Emergency Surgery,Creative Commons Attribution,English
Interpersona : an international journal of personal relationships,works copyrighted by authors,DOAJ seal,International Center for Interpersonal Relationship Research,Creative Commons Attribution,English
European journal of psychotraumatology,works copyrighted by authors,DOAJ seal,European Society for Traumatic Stress Studies,Creative Commons Attribution,English
Journal of biological engineering,works copyrighted by authors,DOAJ seal,Institute of Biological Engineering,Creative Commons Attribution,English
Geoscientific Model Development,works copyrighted by authors,DOAJ seal,European Geosciences Union,Creative Commons Attribution,English
EURASIP Journal on Advances in Signal Processing,printed matter,DOAJ seal,European Association for Signal Processing,Creative Commons Attribution,English
Frontiers in Zoology,printed matter,DOAJ seal,Deutsche Zoologische Gesellschaft,Creative Commons Attribution,English
Biological Research,works copyrighted by authors,DOAJ seal,Sociedad de Biología de Chile,Creative Commons Attribution,English
Cancer Imaging,works copyrighted by authors,DOAJ seal,International Cancer Imaging Society,Creative Commons Attribution,English
Journal of Micropalaeontology,printed matter,DOAJ seal,Micropalaeontological Society,Creative Commons Attribution,English
PLOS Computational Biology,works copyrighted by authors,DOAJ seal,International Society for Computational Biology,Creative Commons Attribution,English
The Cryosphere,works copyrighted by authors,DOAJ seal,European Geosciences Union,Creative Commons Attribution,English
Biological Research,works copyrighted by authors,DOAJ seal,Sociedad de Biología de Chile,Creative Commons Attribution,Spanish
Japanese Journal of Tropical Medicine and Hygiene,works copyrighted by learned societies,DOAJ seal,Japanese Society of Tropical Medicine,Creative Commons Attribution,English
Archives of Scientific Psychology,works copyrighted by authors,DOAJ seal,American Psychological Association,Creative Commons Attribution-NonCommercial,English
