col0,col1,col2,col3,col4,col5
1966 Tour de l'Avenir,1966-07-02,Harry Steevens,1966-07-14,road bicycle racing,1967 Tour de l'Avenir
1974 Tour de l'Avenir,1974-07-09,Wolfgang Steinmayr,1974-07-21,road bicycle racing,1976 Tour de l'Avenir
1976 Tour de l'Avenir,1976-09-04,Henk Lubberding,1976-09-12,road bicycle racing,1977 Tour de l'Avenir
1977 Tour de l'Avenir,1977-09-12,Roberto Visentini,1977-09-25,road bicycle racing,1978 Tour de l'Avenir
1978 Tour de l'Avenir,1978-09-04,Sergei Sukhoruchenkov,1978-09-17,road bicycle racing,1979 Tour de l'Avenir
1979 Tour de l'Avenir,1979-09-03,Jostein Wilmann,1979-09-16,road bicycle racing,1980 Tour de l'Avenir
1980 Tour de l'Avenir,1980-09-08,Sergei Sukhoruchenkov,1980-09-21,road bicycle racing,1981 Tour de l'Avenir
1981 Tour de l'Avenir,1981-09-08,Sergei Sukhoruchenkov,1981-09-21,road bicycle racing,1982 Tour de l'Avenir
1985 Tour de l'Avenir,1985-09-03,Samuel Cabrera,1985-09-16,road bicycle racing,1986 Tour de l'Avenir
1961 Tour de l'Avenir,1961-07-02,Francisco Gabica,1961-07-16,road bicycle racing,1962 Tour de l'Avenir
1968 Tour de l'Avenir,1968-09-13,Jean-Pierre Boulard,1968-09-22,road bicycle racing,1969 Tour de l'Avenir
1972 Tour de l'Avenir,1972-09-13,Fedor den Hertog,1972-09-24,road bicycle racing,1973 Tour de l'Avenir
2016 Tour de l'Avenir,2016-08-20,Adrien Costa,2016-08-27,road bicycle racing,2017 Tour de l'Avenir
1971 Tour de l'Avenir,1971-09-16,Régis Ovion,1971-09-26,road bicycle racing,1972 Tour de l'Avenir
2015 Tour de l'Avenir,2015-08-22,Jack Haig,2015-08-29,road bicycle racing,2016 Tour de l'Avenir
