col0,col1,col2,col3
2018-19 Ekstraklasa,Igor Angulo,sports season,Poland
1982 Lliga Catalana de Bàsquet,Josep Maria Margall,sports season,Spain
1984 Nehru Cup,Ricardo Gareca,sports season,Hungary
2016-17 Ekstraklasa,Marco Paixão,sports season,Poland
2016 CONCACAF Futsal Championship,Frederico Moojen,sports season,Costa Rica
2014 EMF miniEURO,Joe Andrew,sports season,Montenegro
2015–16 LNB Pro A season,Michael Thompson,sports season,France
2015 POMIS Cup,Dramane Traoré,sports season,Malaysia
2014–15 LPB season,Nuno Marçal,sports season,Portugal
2015–16 Cypriot First Division,Dimitar Makriev,sports season,Republic of Cyprus
2014 Caribbean Cup,Darren Mattocks,sports season,United States of America
2013 AFC Futsal Club Championship,Kaoru Morioka,sports season,Japan
2009 Thai Super Cup,Hironori Saruta,sports season,Thailand
1994 FIBA Europe Under-20 Championship,Boris Gorenc,sports season,Slovenia
