col0,col1,col2,col3,col4,col5,col6
Graham,Ames Research Center,Mid-Atlantic Regional Spaceport Launch Pad 0,Antares,2013-04-21,rocket launch,CubeSat
Lem,Space Research Centre of Polish Academy of Sciences,Dombarovsky,Dnepr-1,2013-11-21,rocket launch,CubeSat
SEEDS-2,Nihon University,Satish Dhawan Space Centre Second Launch Pad,Polar Satellite Launch Vehicle,2008-04-28,rocket launch,CubeSat
RAX-2,SRI International,Vandenberg AFB Space Launch Complex 2,Delta II,2011-10-28,rocket launch,CubeSat
M-Cubed,University of Michigan,Vandenberg AFB Space Launch Complex 2,Delta II,2011-10-28,rocket launch,CubeSat
STRaND-1,University of Surrey,Satish Dhawan Space Centre First Launch Pad,Polar Satellite Launch Vehicle,2013-02-25,rocket launch,CubeSat
ITUpSAT1,ITU School of Aeronautics and Astronautics,Satish Dhawan Space Centre First Launch Pad,Polar Satellite Launch Vehicle,2009-09-23,rocket launch,CubeSat
Negai,Sōka University,Yoshinobu Launch Complex,H-IIA,2010-05-20,atmospheric entry,CubeSat
Waseda-SAT2,Waseda University,Yoshinobu Launch Complex,H-IIA,2010-05-20,atmospheric entry,CubeSat
Hayato,Kagoshima University,Yoshinobu Launch Complex,H-IIA,2010-05-20,atmospheric entry,CubeSat
Radio Aurora Explorer,National Aeronautics and Space Administration,Kodiak Launch Complex,Minotaur IV,2010-11-20,rocket launch,CubeSat
Delfi-n3Xt,Delft University of Technology,Dombarovsky,Dnepr-1,2013-11-21,rocket launch,CubeSat
NanoSail-D,National Aeronautics and Space Administration,Ronald Reagan Ballistic Missile Defense Test Site,Falcon 1,2008-08-03,rocket launch,CubeSat
CP-6,California Polytechnic State University,Mid-Atlantic Regional Spaceport Launch Pad 0,Minotaur I,2009-05-19,atmospheric entry,CubeSat
CAPE-1,University of Louisiana at Lafayette,Baikonur Cosmodrome Site 109,Dnepr-1,2007-04-17,rocket launch,CubeSat
