col0,col1,col2,col3,col4,col5
systemic lupus erythematosus,azathioprine,lupus erythematosus,rare disease,wolf,immunology
Crohn's disease,azathioprine,inflammatory bowel disease,rare disease,Burrill Bernard Crohn,gastroenterology
systemic lupus erythematosus,azathioprine,lupus erythematosus,disease,wolf,immunology
Crohn's disease,azathioprine,inflammatory bowel disease,disease,Burrill Bernard Crohn,gastroenterology
thromboangiitis obliterans,tolazoline,arterial occlusive disease,designated intractable/rare diseases,Leo Buerger,cardiology
temporal arteritis,sumatriptan,central nervous system vasculitis,designated intractable/rare diseases,Bayard Taylor Horton,immunology
autoimmune thrombocytopenic purpura,azathioprine,thrombocytopenic purpura,rare disease,Paul Gottlieb Werlhof,hematology
thromboangiitis obliterans,tolazoline,arterial occlusive disease,disease,Leo Buerger,cardiology
temporal arteritis,sumatriptan,central nervous system vasculitis,disease,Bayard Taylor Horton,immunology
autoimmune thrombocytopenic purpura,azathioprine,thrombocytopenic purpura,disease,Paul Gottlieb Werlhof,hematology
Behcet's disease,Etanercept,systemic diseases with posterior uveitis,designated intractable/rare diseases,Hulusi Behçet,immunology
tetralogy of Fallot,alprostadil,genetic disease,developmental defect during embryogenesis,Arthur Fallot,medical genetics
Castleman's disease,rituximab,Lymphoproliferative disorders,designated intractable/rare diseases,Benjamin Castleman,immunology
