col0,col1,col2,col3
biochemistry,branch of chemistry,biology,organic chemistry
pharmacy,branch of science,biology,medicine
goGermline Technology,interdisciplinary science,biotechnology,technology
history of sport,interdisciplinary science,study of history,social history
pharmacy,interdisciplinary science,biology,medicine
biochemistry,interdisciplinary science,biology,organic chemistry
history of sport,specialty,study of history,social history
goGermline Technology,applied science,biotechnology,technology
biochemistry,branch of biology,biology,biology
Islamic studies,academic discipline,Oriental studies,Oriental studies
legal history,academic discipline,study of history,study of history
Hittitology,academic discipline,Ancient Near East studies,Ancient Near East studies
biochemistry,academic discipline,biology,biology
electrochemistry,branch of chemistry,physical chemistry,physical chemistry
