col0,col1,col2,col3
G 125-15,Cygnus,-13,** GIC 158
[MJO2008] J053845.6-021157,Orion,-5.78,NAME sigma Orionis Cluster
HD 124640A,Ursa Major,-22.9,HD 124640
HD 130260,Centaurus,19.34,** HJ 4701
Cl* NGC 2070 SMB 299,Dorado,173.3,NGC 2070
2MASS J05384990-6910428,Dorado,148.9,NGC 2070
[M2002] LMC 169159,Dorado,269.7,NGC 2070
2MASS J05373854-6910199,Dorado,273.9,NGC 2070
TYC 6989-451-1,Sculptor,9.77,Blanco 1
HD 191104B,Aquila,-27.07,HD 191104
Cl* NGC 6192 MMU 96,Scorpius,-9.7,NGC 6192
HD 229716,Aquila,-1.26,NGC 6709
HD 325543,Scorpius,-42.41,NGC 6124
2MASS J07521577-3830549,Puppis,24.52,NGC 2477
UCAC4 147-012280,Carina,18.19,NGC 2516
