col0,col1,col2,col3,col4,col5,col6
Bert och brorsorna,1995-01-01,Rabén & Sjögren,Denmark,Sonja Härdin,Anders Jacobsson,children's novel
Berts bekännelser,1992-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,youth literature
Berts bekymmer,1994-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,youth literature
Berts dagbok,1987-01-01,Rabén & Sjögren,Öreskoga,Sören Olsson,Anders Jacobsson,young adult literature
Bert och ryska invasionen,2009-01-01,Egmont Kids Media Nordic,Öreskoga,Kwok-Hei Mak,Anders Jacobsson,young adult literature
Bert och kalla kriget,2005-01-01,Egmont Kids Media Nordic,Öreskoga,Kwok-Hei Mak,Anders Jacobsson,young adult literature
Bert och friheten,2011-01-01,Egmont Kids Media Nordic,Öreskoga,Kwok-Hei Mak,Anders Jacobsson,young adult literature
Bert och datadejten,2010-01-01,Egmont Kids Media Nordic,Öreskoga,Kwok-Hei Mak,Anders Jacobsson,young adult literature
Bert och Heman Hunters,2006-01-01,Egmont Kids Media Nordic,Öreskoga,Kwok-Hei Mak,Anders Jacobsson,young adult literature
Bert får scenskräck!,2012-01-01,Egmont Kids Media Nordic,Öreskoga,Kwok-Hei Mak,Anders Jacobsson,young adult literature
